Full Name,Date of Hire,Salary (USD),Grade Level,Location,Country
Karel Derby,10/1/2014,101100,4,New York City,USA
Richard Owston,3/5/2013,94800,3,New York City,USA
Maitiú Rayne,5/4/2014,61200,2,New York City,USA
Frazier Presley,7/17/2015,90400,3,New York City,USA
Tamara Bristol,11/27/2017,53800,2,New York City,USA
Tamara Beck,5/9/2007,225000,5,New York City,USA
Rosa Angioli,9/18/2011,109000,4,New York City,USA
Teodoro Siegel,6/7/2014,70000,2,New York City,USA
Meadhbh Heffernan,1/26/2018,48800,2,New York City,USA
Wanda Welch,3/3/2013,92000,3,New York City,USA
Ádhamh Van Houtum,5/11/2016,71800,2,New York City,USA
Livio Graner,11/3/2016,55200,2,New York City,USA
Osborn Longstaff,8/27/2013,94400,3,New York City,USA
Renate Van Akkeren,11/22/2014,83100,3,New York City,USA
Dinah Pierno,10/19/2016,51100,2,New York City,USA
Bianca Crespo,12/16/2011,116100,4,New York City,USA
Amanda Hunnicutt,7/4/1983,425000,5,New York City,USA
Alvina Short,9/14/2010,109500,4,New York City,USA
Leslie Cooke,5/27/2013,80900,3,New York City,USA
Lyla Mitchell,8/2/2015,51800,2,New York City,USA
Carina Milton,11/12/2016,67100,2,New York City,USA
Logan White,1/23/2014,119800,4,New York City,USA
Isaiah Herman,12/28/2015,79300,3,New York City,USA
Pheobe Attwater,9/24/2015,77600,3,New York City,USA
Bailey Hayes,3/25/2014,119400,4,New York City,USA
Lacy Goode,7/8/2013,104400,4,New York City,USA
Mahala Small,12/6/2015,56000,2,New York City,USA
Casey Fishman,10/18/2016,77500,3,New York City,USA
Pheobe Armistead,5/24/2014,106800,4,New York City,USA
Peter Arthur,1/1/1992,350000,5,New York City,USA
Mona Skinner,8/7/2017,46500,2,New York City,USA
Letitia Sackville,5/22/2011,95200,3,New York City,USA
Zoe Martel,6/21/2016,48400,2,New York City,USA
Joye Danielson,1/23/2014,94300,3,New York City,USA
Flavio Cock,3/24/2015,72200,2,New York City,USA
Isaura Ryland,1/10/2017,63000,2,New York City,USA
Elaina Smythe,8/25/2014,74700,2,New York City,USA
Édgar Michaels,10/10/2015,50000,2,New York City,USA
Delmar Winston,10/12/2015,88400,3,New York City,USA
Marvin Stacy,10/28/2016,58500,2,New York City,USA
Reese Elliott,6/16/2016,56900,2,Chicago,USA
Erick Márquez,7/9/2017,64300,2,Chicago,USA
Jerrod Olmos,10/2/2015,90800,3,Chicago,USA
Gareth Turner,2/9/2014,73400,2,Chicago,USA
Irwin Wallis,11/28/2000,250000,5,Chicago,USA
Cavan Buckley,12/2/2014,87200,3,Chicago,USA
Ernest Wade,4/11/2016,48700,2,Chicago,USA
Daniela Palmer,12/19/2012,91400,3,Chicago,USA
